,From,To,Game_Time_Start,Game_Time_End,Start_x,Start_y,End_x,End_y
0,Simon Mignolet,Dejan Lovren,49,50,6.8,84.4,5.3,57.0
1,Dejan Lovren,Simon Mignolet,50,77,10.4,59.4,19.7,38.9
2,Simon Mignolet,Joel Matip,77,81,26.0,38.8,46.1,24.6
3,Joel Matip,Emre Can,81,86,70.7,13.7,79.9,4.4
4,Emre Can,Trent Alexander-Arnold,86,88,79.9,4.4,71.7,19.5
5,Trent Alexander-Arnold,Emre Can,88,91,71.6,21.8,59.1,72.4
6,Emre Can,Alberto Moreno,91,94,59.2,73.6,70.3,96.9
7,Alberto Moreno,Sadio Mané,94,97,70.3,96.9,56.7,95.0
8,Sadio Mané,Alberto Moreno,97,100,57.0,94.1,31.3,69.4
9,Alberto Moreno,Dejan Lovren,100,103,31.3,69.4,32.1,36.6
10,Dejan Lovren,Trent Alexander-Arnold,103,131,76.9,3.5,67.3,8.3
11,Trent Alexander-Arnold,Emre Can,131,133,62.2,13.8,41.2,30.0
12,Emre Can,Joel Matip,133,138,47.0,30.5,44.2,48.5
13,Joel Matip,Dejan Lovren,138,139,43.9,52.8,48.0,92.7
14,Dejan Lovren,Alberto Moreno,139,141,44.8,94.4,63.2,97.4
15,Alberto Moreno,Alberto Moreno,141,163,63.2,97.4,42.9,63.9
16,Alberto Moreno,Dejan Lovren,163,165,42.9,63.9,42.6,34.2
17,Dejan Lovren,Jordan Henderson,165,167,42.6,34.2,42.2,21.5
18,Jordan Henderson,Joel Matip,167,168,42.2,21.5,64.7,4.3
19,Joel Matip,Trent Alexander-Arnold,168,169,64.7,4.3,28.0,20.6
20,Trent Alexander-Arnold,Joel Matip,169,173,25.1,15.1,8.3,34.9
21,Joel Matip,Jordan Henderson,173,185,52.7,27.7,54.0,36.1
22,Jordan Henderson,Georginio Wijnaldum,185,187,56.4,39.4,63.8,77.1
23,Georginio Wijnaldum,Sadio Mané,187,194,81.7,76.9,87.0,70.0
24,Sadio Mané,Alberto Moreno,194,203,58.5,96.9,37.2,69.0
25,Alberto Moreno,Dejan Lovren,203,209,32.5,60.8,38.5,69.0
26,Dejan Lovren,Jordan Henderson,209,211,40.7,64.3,39.0,30.9
27,Jordan Henderson,Joel Matip,211,218,64.4,18.5,76.0,5.8
28,Joel Matip,Trent Alexander-Arnold,218,265,23.1,0.0,36.8,8.8
29,Trent Alexander-Arnold,Emre Can,265,267,36.8,8.8,32.1,23.9
30,Emre Can,Jordan Henderson,267,269,31.6,24.6,27.1,62.7
31,Jordan Henderson,Alberto Moreno,269,272,24.7,72.6,38.9,95.4
32,Alberto Moreno,Trent Alexander-Arnold,272,290,5.3,15.9,23.7,27.4
33,Trent Alexander-Arnold,Trent Alexander-Arnold,290,298,9.1,17.9,38.0,9.8
34,Trent Alexander-Arnold,Simon Mignolet,298,307,13.7,40.8,22.1,69.3
35,Simon Mignolet,Dejan Lovren,307,312,34.8,76.3,40.9,96.6
36,Dejan Lovren,Alberto Moreno,312,314,40.9,96.6,44.2,79.9
37,Alberto Moreno,Georginio Wijnaldum,314,316,42.8,83.8,35.3,95.6
38,Georginio Wijnaldum,Alberto Moreno,316,318,35.3,95.6,22.2,84.7
39,Alberto Moreno,Dejan Lovren,318,320,21.6,83.8,8.3,56.3
40,Dejan Lovren,Trent Alexander-Arnold,320,357,28.8,0.0,38.2,12.6
41,Trent Alexander-Arnold,Emre Can,357,358,38.2,12.6,24.1,19.2
42,Emre Can,Joel Matip,358,360,24.1,19.2,6.7,41.0
43,Joel Matip,Simon Mignolet,360,364,7.0,39.8,15.7,14.6
44,Simon Mignolet,Dejan Lovren,364,389,26.2,72.7,35.6,61.7
45,Dejan Lovren,Jordan Henderson,389,393,35.6,61.7,71.4,23.3
46,Jordan Henderson,Mohamed Salah,393,398,73.0,26.1,65.4,28.0
47,Mohamed Salah,Emre Can,398,402,57.0,14.5,46.0,19.4
48,Emre Can,Joel Matip,402,404,46.2,18.2,54.7,35.9
49,Joel Matip,Roberto Firmino Barbosa de Oliveira,404,516,49.9,49.3,35.3,52.8
50,Roberto Firmino Barbosa de Oliveira,Jordan Henderson,516,517,35.3,52.8,36.3,96.0
51,Jordan Henderson,Alberto Moreno,517,519,36.3,96.0,25.4,82.6
52,Alberto Moreno,Dejan Lovren,519,520,25.4,82.6,39.7,75.3
53,Dejan Lovren,Georginio Wijnaldum,520,523,39.7,75.3,60.3,95.6
54,Georginio Wijnaldum,Alberto Moreno,523,591,80.4,100.0,85.3,80.6
55,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,591,593,85.3,80.6,85.7,88.1
